config,year,quarter,n,win_pct,tsloss_pct,meanP_pct,pnl_usd,ret_pct,maxDD_pct,uw_days_in_quarter,note
GD92,2021,Q3,123,86.99,13.01,3.48,1691.0,4.51,-6.42,40,
GD92,2021,Q4,154,74.03,25.97,0.214,-348.0,-1.01,-7.74,88,thuoc dot UW dai 278d (2021-11-16->2022-08-20)
GD92,2022,Q1,60,76.67,23.33,2.101,304.0,0.7,-5.72,90,thuoc dot UW dai 278d (2021-11-16->2022-08-20)
GD92,2022,Q2,212,82.55,17.45,1.126,165.0,1.68,-13.21,91,thuoc dot UW dai 278d (2021-11-16->2022-08-20)
GD92,2022,Q3,66,92.42,7.58,5.519,3714.0,10.09,-0.87,81,thuoc dot UW dai 278d (2021-11-16->2022-08-20)
GD92,2022,Q4,78,62.82,33.33,-2.539,-1545.0,-3.81,-11.8,54,
GD92,2023,Q1,101,95.05,8.91,5.177,5618.0,13.9,-2.33,78,
GD92,2023,Q2,96,71.88,29.17,5.4,6658.0,13.35,-4.63,89,
GD92,2023,Q3,80,90.0,16.25,5.443,5829.0,9.69,-1.31,61,
GD92,2023,Q4,226,88.5,12.83,4.114,11947.0,18.89,-5.24,61,
GD92,2024,Q1,217,86.18,13.82,4.015,11764.0,18.73,-2.79,70,
GD92,2024,Q2,163,79.14,22.7,1.543,-3705.0,-4.59,-11.36,88,thuoc dot UW dai 114d (2024-04-10->2024-08-01)
GD92,2024,Q3,146,82.19,18.49,3.943,4171.0,5.41,-8.31,80,thuoc dot UW dai 114d (2024-04-10->2024-08-01)
GD92,2024,Q4,272,86.03,14.71,4.028,16673.0,20.52,-3.54,70,
GD92,2025,Q1,225,86.67,12.89,3.081,12294.0,12.55,-4.7,71,
GD92,2025,Q2,117,82.91,17.09,1.451,2862.0,2.6,-6.11,90,thuoc dot UW dai 116d (2025-04-11->2025-08-04)
GD92,2025,Q3,46,82.61,13.04,2.201,1950.0,1.72,-2.62,90,thuoc dot UW dai 116d (2025-04-11->2025-08-04)
GD92,2025,Q4,250,85.2,7.6,6.269,18901.0,16.43,-3.42,79,
T170,2021,Q3,80,95.0,5.0,5.126,2604.0,7.44,-2.14,53,
T170,2021,Q4,69,89.86,10.14,3.489,1669.0,4.44,-2.46,64,
T170,2022,Q1,37,91.89,8.11,4.419,1809.0,4.61,-1.15,86,
T170,2022,Q2,86,83.72,10.47,3.756,2191.0,5.33,-3.99,86,
T170,2022,Q3,22,95.45,4.55,7.79,2366.0,5.47,-0.24,63,
T170,2022,Q4,53,73.58,16.98,2.01,1322.0,2.9,-11.84,52,
T170,2023,Q1,6,83.33,50.0,-0.176,-173.0,-0.37,-1.51,48,
T170,2023,Q2,37,81.08,21.62,13.409,7818.0,16.18,-2.73,84,
T170,2023,Q3,29,86.21,20.69,7.337,2967.0,4.61,-1.07,59,
T170,2023,Q4,53,96.23,3.77,6.007,6025.0,10.08,-0.62,38,
T170,2024,Q1,89,93.26,6.74,4.71,6951.0,11.38,-0.96,77,
T170,2024,Q2,73,80.82,20.55,1.645,-649.0,-0.92,-6.6,83,thuoc dot UW dai 92d (2024-04-10->2024-07-10)
T170,2024,Q3,55,90.91,10.91,7.458,5437.0,7.78,-1.2,62,thuoc dot UW dai 92d (2024-04-10->2024-07-10)
T170,2024,Q4,65,93.85,6.15,5.874,8358.0,11.09,-0.58,60,
T170,2025,Q1,116,91.38,7.76,4.662,12240.0,14.62,-2.37,61,
T170,2025,Q2,10,90.0,10.0,5.587,1506.0,1.57,-0.99,12,
T170,2025,Q3,20,85.0,5.0,2.971,1236.0,1.27,-1.14,5,
T170,2025,Q4,189,85.19,6.35,6.781,12393.0,12.56,-4.23,69,
