config,dataset,year,n,win_pct,tsloss_pct,meanP_pct,pnl_usd,ret_pct,maxDD_pct,uw_days,equity_end,note
T100,wfo_ds_x1_2021(2021-07..2025-12),2021,293,81.57,18.43,2.122,3248.0,9.28,-7.35,47,38247.0,baseline goc scale=1.00
T100,wfo_ds_x1_2021(2021-07..2025-12),2022,406,82.27,17.0,2.2,6619.0,17.31,-12.46,64,44866.0,baseline goc scale=1.00
T100,wfo_ds_x1_2021(2021-07..2025-12),2023,307,88.93,13.36,5.815,27358.0,60.43,-2.51,45,71978.0,baseline goc scale=1.00
T100,wfo_ds_x1_2021(2021-07..2025-12),2024,669,86.1,14.65,3.883,32343.0,45.36,-11.36,121,104567.0,baseline goc scale=1.00
T100,wfo_ds_x1_2021(2021-07..2025-12),2025,884,83.26,14.82,2.512,17202.0,16.45,-10.6,227,121770.0,baseline goc scale=1.00
T100,wfo_ds_x1_2021(2021-07..2025-12),TOTAL,2559,84.33,15.36,3.173,86770.0,247.91,-16.13,248,121770.0,baseline goc scale=1.00
T130,wfo_ds_x1_2021(2021-07..2025-12),2021,194,85.05,14.95,3.282,2552.0,7.29,-6.44,58,37551.0,baseline goc scale=1.30
T130,wfo_ds_x1_2021(2021-07..2025-12),2022,261,84.29,14.18,3.168,7123.0,18.97,-13.14,78,44674.0,baseline goc scale=1.30
T130,wfo_ds_x1_2021(2021-07..2025-12),2023,197,88.83,14.21,6.673,20189.0,44.69,-2.51,42,64640.0,baseline goc scale=1.30
T130,wfo_ds_x1_2021(2021-07..2025-12),2024,411,86.62,14.36,3.86,18443.0,28.95,-9.7,141,83306.0,baseline goc scale=1.30
T130,wfo_ds_x1_2021(2021-07..2025-12),2025,517,84.33,11.61,3.032,9310.0,11.18,-18.34,221,92616.0,baseline goc scale=1.30
T130,wfo_ds_x1_2021(2021-07..2025-12),TOTAL,1580,85.57,13.48,3.755,57617.0,164.62,-18.34,221,92616.0,baseline goc scale=1.30
T170,wfo_ds_x1_2021(2021-07..2025-12),2021,149,92.62,7.38,4.368,4273.0,12.21,-2.46,37,39272.0,baseline goc scale=1.70 (INCUMBENT)
T170,wfo_ds_x1_2021(2021-07..2025-12),2022,198,83.84,11.11,3.861,7688.0,19.58,-11.84,72,46960.0,baseline goc scale=1.70 (INCUMBENT)
T170,wfo_ds_x1_2021(2021-07..2025-12),2023,125,88.8,15.2,8.21,16637.0,34.96,-2.73,63,63378.0,baseline goc scale=1.70 (INCUMBENT)
T170,wfo_ds_x1_2021(2021-07..2025-12),2024,282,89.72,10.99,4.721,20097.0,32.14,-6.6,92,83695.0,baseline goc scale=1.70 (INCUMBENT)
T170,wfo_ds_x1_2021(2021-07..2025-12),2025,335,87.46,6.87,5.784,27375.0,32.71,-4.23,52,111070.0,baseline goc scale=1.70 (INCUMBENT)
T170,wfo_ds_x1_2021(2021-07..2025-12),TOTAL,1089,88.25,9.73,5.244,76070.0,217.34,-11.84,92,111070.0,baseline goc scale=1.70 (INCUMBENT)
T100_NOBD,wfo_ds_x1_2021(2021-07..2025-12),2021,265,79.62,20.38,1.683,2749.0,7.85,-7.6,47,37748.0,NOBD: tat BIG_DOWN+DCA_LEVEL1
T100_NOBD,wfo_ds_x1_2021(2021-07..2025-12),2022,360,83.33,16.39,1.732,3592.0,9.52,-13.31,64,41340.0,NOBD: tat BIG_DOWN+DCA_LEVEL1
T100_NOBD,wfo_ds_x1_2021(2021-07..2025-12),2023,289,88.93,11.76,6.27,26781.0,64.26,-2.63,57,67907.0,NOBD: tat BIG_DOWN+DCA_LEVEL1
T100_NOBD,wfo_ds_x1_2021(2021-07..2025-12),2024,625,85.6,15.2,3.813,28797.0,42.8,-11.13,121,96919.0,NOBD: tat BIG_DOWN+DCA_LEVEL1
T100_NOBD,wfo_ds_x1_2021(2021-07..2025-12),2025,784,84.69,15.05,1.368,9335.0,9.63,-12.15,302,106254.0,NOBD: tat BIG_DOWN+DCA_LEVEL1
T100_NOBD,wfo_ds_x1_2021(2021-07..2025-12),TOTAL,2323,84.67,15.5,2.728,71254.0,203.58,-17.17,302,106254.0,NOBD: tat BIG_DOWN+DCA_LEVEL1
T130_NOBD,wfo_ds_x1_2021(2021-07..2025-12),2021,173,83.24,16.76,2.989,2499.0,7.14,-6.44,44,37499.0,NOBD
T130_NOBD,wfo_ds_x1_2021(2021-07..2025-12),2022,226,84.51,15.93,1.944,3490.0,9.31,-11.34,129,40989.0,NOBD
T130_NOBD,wfo_ds_x1_2021(2021-07..2025-12),2023,173,90.75,9.83,7.735,19669.0,47.52,-2.23,35,60465.0,NOBD
T130_NOBD,wfo_ds_x1_2021(2021-07..2025-12),2024,370,85.95,15.14,3.878,16627.0,27.89,-10.08,141,77285.0,NOBD
T130_NOBD,wfo_ds_x1_2021(2021-07..2025-12),2025,441,86.39,12.47,1.937,8877.0,11.49,-9.05,224,86162.0,NOBD
T130_NOBD,wfo_ds_x1_2021(2021-07..2025-12),TOTAL,1383,86.12,13.96,3.314,51163.0,146.18,-11.34,224,86162.0,NOBD
T170_NOBD,wfo_ds_x1_2021(2021-07..2025-12),2021,126,91.27,8.73,3.984,3732.0,10.66,-2.64,38,38732.0,NOBD
T170_NOBD,wfo_ds_x1_2021(2021-07..2025-12),2022,171,84.21,15.2,2.141,3952.0,10.2,-9.9,131,42683.0,NOBD
T170_NOBD,wfo_ds_x1_2021(2021-07..2025-12),2023,97,93.81,6.19,10.477,15770.0,36.95,-0.51,43,58453.0,NOBD
T170_NOBD,wfo_ds_x1_2021(2021-07..2025-12),2024,243,88.89,11.93,4.641,15962.0,27.31,-7.12,88,74415.0,NOBD
T170_NOBD,wfo_ds_x1_2021(2021-07..2025-12),2025,263,90.11,8.75,3.829,15831.0,21.28,-5.12,54,90247.0,NOBD
T170_NOBD,wfo_ds_x1_2021(2021-07..2025-12),TOTAL,900,89.22,10.56,4.466,55247.0,157.85,-9.9,225,90247.0,NOBD
GS100,wfo_ds_x1_2021(2021-07..2025-12),2021,342,80.99,17.84,2.762,2601.0,7.43,-4.33,47,37601.0,V3 noi gate 1.00 + margin50% + DCA8
GS100,wfo_ds_x1_2021(2021-07..2025-12),2022,495,78.99,16.57,2.369,6203.0,16.5,-10.83,64,43804.0,V3 noi gate 1.00 + margin50% + DCA8
GS100,wfo_ds_x1_2021(2021-07..2025-12),2023,318,88.99,12.58,6.164,16243.0,36.85,-1.52,57,59944.0,V3 noi gate 1.00 + margin50% + DCA8
GS100,wfo_ds_x1_2021(2021-07..2025-12),2024,776,85.44,12.37,4.68,25740.0,43.15,-7.91,88,85787.0,V3 noi gate 1.00 + margin50% + DCA8
GS100,wfo_ds_x1_2021(2021-07..2025-12),2025,1084,80.54,12.27,2.9,36082.0,42.06,-6.27,221,121869.0,V3 noi gate 1.00 + margin50% + DCA8
GS100,wfo_ds_x1_2021(2021-07..2025-12),TOTAL,3015,82.49,13.67,3.6,86869.0,248.2,-12.66,221,121869.0,V3 noi gate 1.00 + margin50% + DCA8
GS120,wfo_ds_x1_2021(2021-07..2025-12),2021,270,83.7,14.44,3.271,2626.0,7.5,-3.03,33,37626.0,V3 noi gate 1.20 + margin50% + DCA8
GS120,wfo_ds_x1_2021(2021-07..2025-12),2022,390,78.46,14.62,2.896,5538.0,14.72,-9.77,113,43164.0,V3 noi gate 1.20 + margin50% + DCA8
GS120,wfo_ds_x1_2021(2021-07..2025-12),2023,230,89.13,13.04,6.584,12231.0,28.12,-1.48,57,55300.0,V3 noi gate 1.20 + margin50% + DCA8
GS120,wfo_ds_x1_2021(2021-07..2025-12),2024,533,83.68,12.76,4.274,14468.0,26.37,-7.59,145,69863.0,V3 noi gate 1.20 + margin50% + DCA8
GS120,wfo_ds_x1_2021(2021-07..2025-12),2025,754,80.11,11.27,2.881,23161.0,33.15,-6.43,221,93024.0,V3 noi gate 1.20 + margin50% + DCA8
GS120,wfo_ds_x1_2021(2021-07..2025-12),TOTAL,2177,82.09,12.82,3.664,58025.0,165.78,-9.77,221,93024.0,V3 noi gate 1.20 + margin50% + DCA8
GS140,wfo_ds_x1_2021(2021-07..2025-12),2021,203,86.7,9.36,3.944,2843.0,8.12,-1.85,22,37842.0,V3 noi gate 1.40 + margin50% + DCA8
GS140,wfo_ds_x1_2021(2021-07..2025-12),2022,304,76.32,13.82,2.622,5063.0,13.38,-8.62,109,42905.0,V3 noi gate 1.40 + margin50% + DCA8
GS140,wfo_ds_x1_2021(2021-07..2025-12),2023,179,89.94,12.85,7.259,10544.0,24.36,-1.31,37,53357.0,V3 noi gate 1.40 + margin50% + DCA8
GS140,wfo_ds_x1_2021(2021-07..2025-12),2024,434,86.41,10.37,4.797,13765.0,26.01,-5.62,89,67214.0,V3 noi gate 1.40 + margin50% + DCA8
GS140,wfo_ds_x1_2021(2021-07..2025-12),2025,542,81.18,9.96,3.627,19421.0,28.89,-5.65,221,86635.0,V3 noi gate 1.40 + margin50% + DCA8
GS140,wfo_ds_x1_2021(2021-07..2025-12),TOTAL,1662,83.27,11.01,4.179,51635.0,147.53,-8.62,221,86635.0,V3 noi gate 1.40 + margin50% + DCA8
GS085,wfo_ds_x1_2021(2021-07..2025-12),2021,446,81.39,18.61,3.065,4143.0,10.85,-5.21,47,38799.0,V4-A gate 0.85
GS085,wfo_ds_x1_2021(2021-07..2025-12),2022,655,75.42,20.15,1.435,4213.0,11.85,-11.88,53,43355.0,V4-A gate 0.85
GS085,wfo_ds_x1_2021(2021-07..2025-12),2023,404,86.63,15.35,5.236,16901.0,37.61,-1.59,53,59661.0,V4-A gate 0.85
