date,day_id,breadth_score_allcoin,n_valid_allcoin,breadth_score_top50,n_valid_top50,gate_allcoin_ma200,gate_top50_ma200
2021-07-01,18809,0.090909,110,0.140000,50,1.5727,1.5040
2021-07-02,18810,0.081818,110,0.120000,50,1.5855,1.5320
2021-07-03,18811,0.081818,110,0.120000,50,1.5855,1.5320
2021-07-04,18812,0.081818,110,0.120000,50,1.5855,1.5320
2021-07-05,18813,0.136364,110,0.240000,50,1.5091,1.3640
2021-07-06,18814,0.127273,110,0.200000,50,1.5218,1.4200
2021-07-07,18815,0.136364,110,0.200000,50,1.5091,1.4200
2021-07-08,18816,0.154545,110,0.220000,50,1.4836,1.3920
2021-07-09,18817,0.127273,110,0.180000,50,1.5218,1.4480
2021-07-10,18818,0.145455,110,0.220000,50,1.4964,1.3920
2021-07-11,18819,0.117117,111,0.160000,50,1.5360,1.4760
2021-07-12,18820,0.144144,111,0.220000,50,1.4982,1.3920
2021-07-13,18821,0.090090,111,0.120000,50,1.5739,1.5320
2021-07-14,18822,0.090090,111,0.120000,50,1.5739,1.5320
2021-07-15,18823,0.099099,111,0.120000,50,1.5613,1.5320
2021-07-16,18824,0.099099,111,0.120000,50,1.5613,1.5320
2021-07-17,18825,0.090090,111,0.100000,50,1.5739,1.5600
2021-07-18,18826,0.099099,111,0.120000,50,1.5613,1.5320
2021-07-19,18827,0.099099,111,0.120000,50,1.5613,1.5320
2021-07-20,18828,0.072072,111,0.060000,50,1.5991,1.6160
2021-07-21,18829,0.063063,111,0.060000,50,1.6117,1.6160
2021-07-22,18830,0.080357,112,0.080000,50,1.5875,1.5880
2021-07-23,18831,0.098214,112,0.100000,50,1.5625,1.5600
2021-07-24,18832,0.116071,112,0.120000,50,1.5375,1.5320
2021-07-25,18833,0.133929,112,0.140000,50,1.5125,1.5040
2021-07-26,18834,0.133929,112,0.140000,50,1.5125,1.5040
2021-07-27,18835,0.125000,112,0.140000,50,1.5250,1.5040
2021-07-28,18836,0.142857,112,0.160000,50,1.5000,1.4760
2021-07-29,18837,0.151786,112,0.160000,50,1.4875,1.4760
2021-07-30,18838,0.160714,112,0.180000,50,1.4750,1.4480
2021-07-31,18839,0.178571,112,0.200000,50,1.4500,1.4200
2021-08-01,18840,0.187500,112,0.200000,50,1.4375,1.4200
2021-08-02,18841,0.196429,112,0.200000,50,1.4250,1.4200
2021-08-03,18842,0.196429,112,0.200000,50,1.4250,1.4200
2021-08-04,18843,0.187500,112,0.180000,50,1.4375,1.4480
2021-08-05,18844,0.214286,112,0.240000,50,1.4000,1.3640
2021-08-06,18845,0.214286,112,0.240000,50,1.4000,1.3640
2021-08-07,18846,0.232143,112,0.280000,50,1.3750,1.3080
2021-08-08,18847,0.258929,112,0.300000,50,1.3375,1.2800
2021-08-09,18848,0.258929,112,0.300000,50,1.3375,1.2800
2021-08-10,18849,0.294643,112,0.320000,50,1.2875,1.2520
2021-08-11,18850,0.312500,112,0.340000,50,1.2625,1.2240
2021-08-12,18851,0.401786,112,0.440000,50,1.1375,1.0840
2021-08-13,18852,0.330357,112,0.300000,50,1.2375,1.2800
2021-08-14,18853,0.437500,112,0.480000,50,1.0875,1.0280
2021-08-15,18854,0.464286,112,0.480000,50,1.0500,1.0280
2021-08-16,18855,0.473214,112,0.500000,50,1.0375,1.0000
2021-08-17,18856,0.517857,112,0.580000,50,1.0000,1.0000
2021-08-18,18857,0.348214,112,0.340000,50,1.2125,1.2240
2021-08-19,18858,0.339286,112,0.320000,50,1.2250,1.2520
2021-08-20,18859,0.473214,112,0.520000,50,1.0375,1.0000
2021-08-21,18860,0.598214,112,0.660000,50,1.0000,1.0000
2021-08-22,18861,0.607143,112,0.640000,50,1.0000,1.0000
2021-08-23,18862,0.589286,112,0.640000,50,1.0000,1.0000
2021-08-24,18863,0.696429,112,0.800000,50,1.0000,1.0000
2021-08-25,18864,0.553571,112,0.600000,50,1.0000,1.0000
2021-08-26,18865,0.598214,112,0.660000,50,1.0000,1.0000
2021-08-27,18866,0.473214,112,0.520000,50,1.0375,1.0000
2021-08-28,18867,0.562500,112,0.600000,50,1.0000,1.0000
2021-08-29,18868,0.535714,112,0.560000,50,1.0000,1.0000
2021-08-30,18869,0.535714,112,0.580000,50,1.0000,1.0000
2021-08-31,18870,0.562500,112,0.600000,50,1.0000,1.0000
2021-09-01,18871,0.553571,112,0.580000,50,1.0000,1.0000
2021-09-02,18872,0.651786,112,0.740000,50,1.0000,1.0000
2021-09-03,18873,0.678571,112,0.760000,50,1.0000,1.0000
2021-09-04,18874,0.732143,112,0.780000,50,1.0000,1.0000
2021-09-05,18875,0.803571,112,0.860000,50,1.0000,1.0000
2021-09-06,18876,0.857143,112,0.900000,50,1.0000,1.0000
2021-09-07,18877,0.875000,112,0.920000,50,1.0000,1.0000
2021-09-08,18878,0.392857,112,0.460000,50,1.1500,1.0560
2021-09-09,18879,0.410714,112,0.480000,50,1.1250,1.0280
2021-09-10,18880,0.500000,112,0.540000,50,1.0000,1.0000
2021-09-11,18881,0.389381,113,0.400000,50,1.1549,1.1400
2021-09-12,18882,0.415929,113,0.440000,50,1.1177,1.0840
2021-09-13,18883,0.415929,113,0.440000,50,1.1177,1.0840
2021-09-14,18884,0.389381,113,0.420000,50,1.1549,1.1120
2021-09-15,18885,0.451327,113,0.520000,50,1.0681,1.0000
2021-09-16,18886,0.530973,113,0.620000,50,1.0000,1.0000
2021-09-17,18887,0.504425,113,0.580000,50,1.0000,1.0000
2021-09-18,18888,0.447368,114,0.480000,50,1.0737,1.0280
2021-09-19,18889,0.469565,115,0.520000,50,1.0426,1.0000
2021-09-20,18890,0.426087,115,0.440000,50,1.1035,1.0840
2021-09-21,18891,0.278261,115,0.220000,50,1.3104,1.3920
2021-09-22,18892,0.234783,115,0.220000,50,1.3713,1.3920
2021-09-23,18893,0.327586,116,0.280000,50,1.2414,1.3080
2021-09-24,18894,0.344828,116,0.300000,50,1.2172,1.2800
2021-09-25,18895,0.284483,116,0.240000,50,1.3017,1.3640
2021-09-26,18896,0.256410,117,0.240000,50,1.3410,1.3640
2021-09-27,18897,0.264957,117,0.240000,50,1.3291,1.3640
2021-09-28,18898,0.256410,117,0.240000,50,1.3410,1.3640
2021-09-29,18899,0.222222,117,0.200000,50,1.3889,1.4200
2021-09-30,18900,0.211864,118,0.200000,50,1.4034,1.4200
2021-10-01,18901,0.254237,118,0.220000,50,1.3441,1.3920
2021-10-02,18902,0.355932,118,0.360000,50,1.2017,1.1960
2021-10-03,18903,0.398305,118,0.400000,50,1.1424,1.1400
2021-10-04,18904,0.381356,118,0.380000,50,1.1661,1.1680
2021-10-05,18905,0.364407,118,0.340000,50,1.1898,1.2240
2021-10-06,18906,0.398305,118,0.380000,50,1.1424,1.1680
2021-10-07,18907,0.406780,118,0.380000,50,1.1305,1.1680
2021-10-08,18908,0.398305,118,0.380000,50,1.1424,1.1680
2021-10-09,18909,0.389831,118,0.380000,50,1.1542,1.1680
2021-10-10,18910,0.420168,119,0.420000,50,1.1118,1.1120
2021-10-11,18911,0.369748,119,0.360000,50,1.1824,1.1960
2021-10-12,18912,0.352941,119,0.340000,50,1.2059,1.2240
2021-10-13,18913,0.369748,119,0.380000,50,1.1824,1.1680
2021-10-14,18914,0.378151,119,0.360000,50,1.1706,1.1960
2021-10-15,18915,0.403361,119,0.380000,50,1.1353,1.1680
2021-10-16,18916,0.428571,119,0.380000,50,1.1000,1.1680
2021-10-17,18917,0.475000,120,0.420000,50,1.0350,1.1120
2021-10-18,18918,0.438017,121,0.400000,50,1.0868,1.1400
2021-10-19,18919,0.438017,121,0.380000,50,1.0868,1.1680
2021-10-20,18920,0.446281,121,0.380000,50,1.0752,1.1680
2021-10-21,18921,0.545455,121,0.500000,50,1.0000,1.0000
2021-10-22,18922,0.570248,121,0.540000,50,1.0000,1.0000
2021-10-23,18923,0.545455,121,0.520000,50,1.0000,1.0000
2021-10-24,18924,0.561983,121,0.540000,50,1.0000,1.0000
2021-10-25,18925,0.545455,121,0.520000,50,1.0000,1.0000
2021-10-26,18926,0.603306,121,0.600000,50,1.0000,1.0000
2021-10-27,18927,0.639344,122,0.620000,50,1.0000,1.0000
2021-10-28,18928,0.439024,123,0.380000,50,1.0854,1.1680
2021-10-29,18929,0.528455,123,0.480000,50,1.0000,1.0280
2021-10-30,18930,0.609756,123,0.560000,50,1.0000,1.0000
2021-10-31,18931,0.650407,123,0.580000,50,1.0000,1.0000
2021-11-01,18932,0.699187,123,0.620000,50,1.0000,1.0000
2021-11-02,18933,0.723577,123,0.640000,50,1.0000,1.0000
2021-11-03,18934,0.813008,123,0.700000,50,1.0000,1.0000
2021-11-04,18935,0.837398,123,0.740000,50,1.0000,1.0000
2021-11-05,18936,0.804878,123,0.700000,50,1.0000,1.0000
2021-11-06,18937,0.796748,123,0.700000,50,1.0000,1.0000
2021-11-07,18938,0.780488,123,0.680000,50,1.0000,1.0000
2021-11-08,18939,0.813008,123,0.680000,50,1.0000,1.0000
2021-11-09,18940,0.853659,123,0.780000,50,1.0000,1.0000
2021-11-10,18941,0.886179,123,0.860000,50,1.0000,1.0000
2021-11-11,18942,0.693548,124,0.660000,50,1.0000,1.0000
2021-11-12,18943,0.806452,124,0.740000,50,1.0000,1.0000
2021-11-13,18944,0.758065,124,0.720000,50,1.0000,1.0000
2021-11-14,18945,0.830645,124,0.780000,50,1.0000,1.0000
2021-11-15,18946,0.806452,124,0.720000,50,1.0000,1.0000
2021-11-16,18947,0.798387,124,0.700000,50,1.0000,1.0000
2021-11-17,18948,0.653226,124,0.560000,50,1.0000,1.0000
2021-11-18,18949,0.624000,125,0.520000,50,1.0000,1.0000
2021-11-19,18950,0.552000,125,0.480000,50,1.0000,1.0280
2021-11-20,18951,0.611111,126,0.520000,50,1.0000,1.0000
2021-11-21,18952,0.642857,126,0.580000,50,1.0000,1.0000
2021-11-22,18953,0.674603,126,0.600000,50,1.0000,1.0000
2021-11-23,18954,0.619048,126,0.540000,50,1.0000,1.0000
2021-11-24,18955,0.666667,126,0.580000,50,1.0000,1.0000
2021-11-25,18956,0.645669,127,0.540000,50,1.0000,1.0000
2021-11-26,18957,0.724409,127,0.680000,50,1.0000,1.0000
2021-11-27,18958,0.590551,127,0.520000,50,1.0000,1.0000
2021-11-28,18959,0.653543,127,0.520000,50,1.0000,1.0000
2021-11-29,18960,0.637795,127,0.520000,50,1.0000,1.0000
2021-11-30,18961,0.700787,127,0.600000,50,1.0000,1.0000
2021-12-01,18962,0.716535,127,0.640000,50,1.0000,1.0000
2021-12-02,18963,0.677165,127,0.580000,50,1.0000,1.0000
2021-12-03,18964,0.708661,127,0.620000,50,1.0000,1.0000
2021-12-04,18965,0.614173,127,0.540000,50,1.0000,1.0000
2021-12-05,18966,0.377953,127,0.360000,50,1.1709,1.1960
2021-12-06,18967,0.283465,127,0.300000,50,1.3031,1.2800
2021-12-07,18968,0.322835,127,0.340000,50,1.2480,1.2240
2021-12-08,18969,0.370079,127,0.360000,50,1.1819,1.1960
2021-12-09,18970,0.385827,127,0.400000,50,1.1598,1.1400
2021-12-10,18971,0.307087,127,0.340000,50,1.2701,1.2240
2021-12-11,18972,0.289062,128,0.320000,50,1.2953,1.2520
2021-12-12,18973,0.296875,128,0.320000,50,1.2844,1.2520
2021-12-13,18974,0.320312,128,0.320000,50,1.2516,1.2520
2021-12-14,18975,0.218750,128,0.240000,50,1.3938,1.3640
2021-12-15,18976,0.265625,128,0.280000,50,1.3281,1.3080
2021-12-16,18977,0.265625,128,0.280000,50,1.3281,1.3080
2021-12-17,18978,0.273438,128,0.280000,50,1.3172,1.3080
2021-12-18,18979,0.242188,128,0.220000,50,1.3609,1.3920
2021-12-19,18980,0.257812,128,0.240000,50,1.3391,1.3640
2021-12-20,18981,0.251969,127,0.220000,50,1.3472,1.3920
2021-12-21,18982,0.244094,127,0.260000,50,1.3583,1.3360
2021-12-22,18983,0.283465,127,0.300000,50,1.3031,1.2800
2021-12-23,18984,0.299213,127,0.300000,50,1.2811,1.2800
2021-12-24,18985,0.362205,127,0.320000,50,1.1929,1.2520
2021-12-25,18986,0.330709,127,0.320000,50,1.2370,1.2520
2021-12-26,18987,0.346457,127,0.320000,50,1.2150,1.2520
2021-12-27,18988,0.385827,127,0.340000,50,1.1598,1.2240
2021-12-28,18989,0.401575,127,0.340000,50,1.1378,1.2240
2021-12-29,18990,0.299213,127,0.300000,50,1.2811,1.2800
2021-12-30,18991,0.289062,128,0.300000,50,1.2953,1.2800
2021-12-31,18992,0.304688,128,0.320000,50,1.2734,1.2520
2022-01-01,18993,0.296875,128,0.300000,50,1.2844,1.2800
2022-01-02,18994,0.328125,128,0.340000,50,1.2406,1.2240
2022-01-03,18995,0.335938,128,0.320000,50,1.2297,1.2520
2022-01-04,18996,0.328125,128,0.340000,50,1.2406,1.2240
2022-01-05,18997,0.359375,128,0.340000,50,1.1969,1.2240
2022-01-06,18998,0.257812,128,0.300000,50,1.3391,1.2800
2022-01-07,18999,0.265625,128,0.320000,50,1.3281,1.2520
2022-01-08,19000,0.210938,128,0.240000,50,1.4047,1.3640
2022-01-09,19001,0.179688,128,0.220000,50,1.4484,1.3920
2022-01-10,19002,0.187500,128,0.220000,50,1.4375,1.3920
2022-01-11,19003,0.171875,128,0.200000,50,1.4594,1.4200
2022-01-12,19004,0.187500,128,0.240000,50,1.4375,1.3640
2022-01-13,19005,0.226562,128,0.280000,50,1.3828,1.3080
2022-01-14,19006,0.179688,128,0.220000,50,1.4484,1.3920
2022-01-15,19007,0.203125,128,0.240000,50,1.4156,1.3640
2022-01-16,19008,0.218750,128,0.260000,50,1.3938,1.3360
2022-01-17,19009,0.226562,128,0.280000,50,1.3828,1.3080
2022-01-18,19010,0.187500,128,0.180000,50,1.4375,1.4480
2022-01-19,19011,0.195312,128,0.220000,50,1.4266,1.3920
2022-01-20,19012,0.179688,128,0.180000,50,1.4484,1.4480
2022-01-21,19013,0.156250,128,0.140000,50,1.4812,1.5040
2022-01-22,19014,0.085938,128,0.080000,50,1.5797,1.5880
2022-01-23,19015,0.062016,129,0.040000,50,1.6132,1.6440
2022-01-24,19016,0.062016,129,0.040000,50,1.6132,1.6440
2022-01-25,19017,0.046512,129,0.040000,50,1.6349,1.6440
2022-01-26,19018,0.061538,130,0.080000,50,1.6138,1.5880
2022-01-27,19019,0.054264,129,0.040000,50,1.6240,1.6440
2022-01-28,19020,0.062016,129,0.060000,50,1.6132,1.6160
2022-01-29,19021,0.077519,129,0.100000,50,1.5915,1.5600
2022-01-30,19022,0.084615,130,0.100000,50,1.5815,1.5600
2022-01-31,19023,0.061538,130,0.060000,50,1.6138,1.6160
2022-02-01,19024,0.076923,130,0.080000,50,1.5923,1.5880
2022-02-02,19025,0.084615,130,0.100000,50,1.5815,1.5600
2022-02-03,19026,0.053846,130,0.060000,50,1.6246,1.6160
2022-02-04,19027,0.053846,130,0.060000,50,1.6246,1.6160
2022-02-05,19028,0.076923,130,0.100000,50,1.5923,1.5600
2022-02-06,19029,0.106870,131,0.120000,50,1.5504,1.5320
2022-02-07,19030,0.114504,131,0.100000,50,1.5397,1.5600
2022-02-08,19031,0.129771,131,0.120000,50,1.5183,1.5320
2022-02-09,19032,0.122137,131,0.100000,50,1.5290,1.5600
2022-02-10,19033,0.137405,131,0.120000,50,1.5076,1.5320
2022-02-11,19034,0.122137,131,0.100000,50,1.5290,1.5600
2022-02-12,19035,0.091603,131,0.080000,50,1.5718,1.5880
2022-02-13,19036,0.076336,131,0.060000,50,1.5931,1.6160
2022-02-14,19037,0.076336,131,0.060000,50,1.5931,1.6160
2022-02-15,19038,0.076336,131,0.060000,50,1.5931,1.6160
2022-02-16,19039,0.077519,129,0.080000,50,1.5915,1.5880
2022-02-17,19040,0.085271,129,0.080000,50,1.5806,1.5880
2022-02-18,19041,0.069767,129,0.060000,50,1.6023,1.6160
2022-02-19,19042,0.069767,129,0.060000,50,1.6023,1.6160
2022-02-20,19043,0.069767,129,0.060000,50,1.6023,1.6160
2022-02-21,19044,0.031008,129,0.040000,50,1.6566,1.6440
2022-02-22,19045,0.031008,129,0.020000,50,1.6566,1.6720
2022-02-23,19046,0.031008,129,0.020000,50,1.6566,1.6720
2022-02-24,19047,0.038760,129,0.040000,50,1.6457,1.6440
2022-02-25,19048,0.038760,129,0.040000,50,1.6457,1.6440
2022-02-26,19049,0.038760,129,0.040000,50,1.6457,1.6440
2022-02-27,19050,0.038760,129,0.040000,50,1.6457,1.6440
2022-02-28,19051,0.015873,126,0.020000,50,1.6778,1.6720
2022-03-01,19052,0.031746,126,0.040000,50,1.6556,1.6440
2022-03-02,19053,0.046512,129,0.060000,50,1.6349,1.6160
2022-03-03,19054,0.062016,129,0.080000,50,1.6132,1.5880
2022-03-04,19055,0.054264,129,0.080000,50,1.6240,1.5880
2022-03-05,19056,0.038760,129,0.060000,50,1.6457,1.6160
2022-03-06,19057,0.038760,129,0.060000,50,1.6457,1.6160
2022-03-07,19058,0.031008,129,0.040000,50,1.6566,1.6440
2022-03-08,19059,0.031008,129,0.020000,50,1.6566,1.6720
2022-03-09,19060,0.031008,129,0.020000,50,1.6566,1.6720
2022-03-10,19061,0.038760,129,0.040000,50,1.6457,1.6440
2022-03-11,19062,0.038760,129,0.040000,50,1.6457,1.6440
2022-03-12,19063,0.038462,130,0.060000,50,1.6462,1.6160
2022-03-13,19064,0.045802,131,0.060000,50,1.6359,1.6160
2022-03-14,19065,0.030534,131,0.040000,50,1.6573,1.6440
2022-03-15,19066,0.030534,131,0.040000,50,1.6573,1.6440
2022-03-16,19067,0.022901,131,0.020000,50,1.6679,1.6720
2022-03-17,19068,0.045802,131,0.060000,50,1.6359,1.6160
2022-03-18,19069,0.061069,131,0.080000,50,1.6145,1.5880
2022-03-19,19070,0.061069,131,0.100000,50,1.6145,1.5600
2022-03-20,19071,0.083969,131,0.100000,50,1.5824,1.5600
2022-03-21,19072,0.068702,131,0.100000,50,1.6038,1.5600
2022-03-22,19073,0.068702,131,0.100000,50,1.6038,1.5600
2022-03-23,19074,0.083969,131,0.120000,50,1.5824,1.5320
2022-03-24,19075,0.083333,132,0.120000,50,1.5833,1.5320
2022-03-25,19076,0.090909,132,0.120000,50,1.5727,1.5320
2022-03-26,19077,0.098485,132,0.120000,50,1.5621,1.5320
2022-03-27,19078,0.113636,132,0.120000,50,1.5409,1.5320
2022-03-28,19079,0.121212,132,0.120000,50,1.5303,1.5320
2022-03-29,19080,0.128788,132,0.140000,50,1.5197,1.5040
2022-03-30,19081,0.113636,132,0.140000,50,1.5409,1.5040
2022-03-31,19082,0.128788,132,0.140000,50,1.5197,1.5040
2022-04-01,19083,0.121212,132,0.160000,50,1.5303,1.4760
2022-04-02,19084,0.166667,132,0.240000,50,1.4667,1.3640
2022-04-03,19085,0.193798,129,0.300000,50,1.4287,1.2800
2022-04-04,19086,0.227273,132,0.360000,50,1.3818,1.1960
2022-04-05,19087,0.174242,132,0.280000,50,1.4561,1.3080
2022-04-06,19088,0.113636,132,0.160000,50,1.5409,1.4760
2022-04-07,19089,0.105263,133,0.160000,50,1.5526,1.4760
2022-04-08,19090,0.112782,133,0.180000,50,1.5421,1.4480
2022-04-09,19091,0.097744,133,0.180000,50,1.5632,1.4480
2022-04-10,19092,0.090226,133,0.160000,50,1.5737,1.4760
2022-04-11,19093,0.090226,133,0.160000,50,1.5737,1.4760
2022-04-12,19094,0.045113,133,0.060000,50,1.6368,1.6160
2022-04-13,19095,0.053030,132,0.060000,50,1.6258,1.6160
2022-04-14,19096,0.067669,133,0.080000,50,1.6053,1.5880
2022-04-15,19097,0.060150,133,0.080000,50,1.6158,1.5880
2022-04-16,19098,0.059701,134,0.080000,50,1.6164,1.5880
2022-04-17,19099,0.059701,134,0.080000,50,1.6164,1.5880
2022-04-18,19100,0.059701,134,0.080000,50,1.6164,1.5880
2022-04-19,19101,0.074627,134,0.100000,50,1.5955,1.5600
2022-04-20,19102,0.104478,134,0.120000,50,1.5537,1.5320
2022-04-21,19103,0.089552,134,0.120000,50,1.5746,1.5320
2022-04-22,19104,0.089552,134,0.140000,50,1.5746,1.5040
2022-04-23,19105,0.089552,134,0.140000,50,1.5746,1.5040
2022-04-24,19106,0.097015,134,0.140000,50,1.5642,1.5040
2022-04-25,19107,0.082090,134,0.120000,50,1.5851,1.5320
2022-04-26,19108,0.082090,134,0.120000,50,1.5851,1.5320
2022-04-27,19109,0.074627,134,0.100000,50,1.5955,1.5600
2022-04-28,19110,0.074627,134,0.100000,50,1.5955,1.5600
2022-04-29,19111,0.074627,134,0.100000,50,1.5955,1.5600
2022-04-30,19112,0.059701,134,0.060000,50,1.6164,1.6160
2022-05-01,19113,0.052239,134,0.080000,50,1.6269,1.5880
2022-05-02,19114,0.037313,134,0.040000,50,1.6478,1.6440
2022-05-03,19115,0.037313,134,0.020000,50,1.6478,1.6720
2022-05-04,19116,0.037313,134,0.040000,50,1.6478,1.6440
2022-05-05,19117,0.067164,134,0.100000,50,1.6060,1.5600
2022-05-06,19118,0.029851,134,0.020000,50,1.6582,1.6720
2022-05-07,19119,0.044776,134,0.060000,50,1.6373,1.6160
2022-05-08,19120,0.022222,135,0.040000,50,1.6689,1.6440
2022-05-09,19121,0.037037,135,0.060000,50,1.6481,1.6160
2022-05-10,19122,0.000000,135,0.000000,50,1.7000,1.7000
2022-05-11,19123,0.000000,135,0.000000,50,1.7000,1.7000
2022-05-12,19124,0.000000,135,0.000000,50,1.7000,1.7000
2022-05-13,19125,0.000000,135,0.000000,50,1.7000,1.7000
2022-05-14,19126,0.007519,133,0.020000,50,1.6895,1.6720
2022-05-15,19127,0.000000,134,0.000000,50,1.7000,1.7000
2022-05-16,19128,0.000000,134,0.000000,50,1.7000,1.7000
2022-05-17,19129,0.000000,134,0.000000,50,1.7000,1.7000
2022-05-18,19130,0.000000,134,0.000000,50,1.7000,1.7000
2022-05-19,19131,0.000000,134,0.000000,50,1.7000,1.7000
2022-05-20,19132,0.007407,135,0.020000,50,1.6896,1.6720
2022-05-21,19133,0.007407,135,0.020000,50,1.6896,1.6720
2022-05-22,19134,0.007407,135,0.020000,50,1.6896,1.6720
2022-05-23,19135,0.014815,135,0.040000,50,1.6793,1.6440
2022-05-24,19136,0.007407,135,0.020000,50,1.6896,1.6720
2022-05-25,19137,0.007407,135,0.020000,50,1.6896,1.6720
2022-05-26,19138,0.007407,135,0.020000,50,1.6896,1.6720
2022-05-27,19139,0.007407,135,0.020000,50,1.6896,1.6720
2022-05-28,19140,0.007519,133,0.020000,50,1.6895,1.6720
2022-05-29,19141,0.007463,134,0.020000,50,1.6896,1.6720
2022-05-30,19142,0.007463,134,0.020000,50,1.6896,1.6720
2022-05-31,19143,0.014925,134,0.040000,50,1.6791,1.6440
2022-06-01,19144,0.007463,134,0.020000,50,1.6896,1.6720
2022-06-02,19145,0.014925,134,0.040000,50,1.6791,1.6440
2022-06-03,19146,0.014925,134,0.040000,50,1.6791,1.6440
2022-06-04,19147,0.007407,135,0.020000,50,1.6896,1.6720
2022-06-05,19148,0.007407,135,0.020000,50,1.6896,1.6720
2022-06-06,19149,0.007407,135,0.020000,50,1.6896,1.6720
2022-06-07,19150,0.014815,135,0.020000,50,1.6793,1.6720
2022-06-08,19151,0.022222,135,0.020000,50,1.6689,1.6720
2022-06-09,19152,0.022222,135,0.020000,50,1.6689,1.6720
2022-06-10,19153,0.037037,135,0.020000,50,1.6481,1.6720
2022-06-11,19154,0.022222,135,0.020000,50,1.6689,1.6720
2022-06-12,19155,0.022222,135,0.020000,50,1.6689,1.6720
2022-06-13,19156,0.022222,135,0.020000,50,1.6689,1.6720
2022-06-14,19157,0.007407,135,0.000000,50,1.6896,1.7000
2022-06-15,19158,0.007407,135,0.000000,50,1.6896,1.7000
2022-06-16,19159,0.007407,135,0.000000,50,1.6896,1.7000
2022-06-17,19160,0.000000,135,0.000000,50,1.7000,1.7000
2022-06-18,19161,0.000000,135,0.000000,50,1.7000,1.7000
2022-06-19,19162,0.000000,134,0.000000,50,1.7000,1.7000
2022-06-20,19163,0.000000,134,0.000000,50,1.7000,1.7000
2022-06-21,19164,0.000000,134,0.000000,50,1.7000,1.7000
2022-06-22,19165,0.000000,134,0.000000,50,1.7000,1.7000
2022-06-23,19166,0.000000,134,0.000000,50,1.7000,1.7000
2022-06-24,19167,0.007463,134,0.000000,50,1.6896,1.7000
2022-06-25,19168,0.000000,134,0.000000,50,1.7000,1.7000
2022-06-26,19169,0.000000,134,0.000000,50,1.7000,1.7000
2022-06-27,19170,0.000000,134,0.000000,50,1.7000,1.7000
2022-06-28,19171,0.000000,134,0.000000,50,1.7000,1.7000
2022-06-29,19172,0.007463,134,0.000000,50,1.6896,1.7000
2022-06-30,19173,0.007463,134,0.000000,50,1.6896,1.7000
2022-07-01,19174,0.000000,135,0.000000,50,1.7000,1.7000
2022-07-02,19175,0.000000,135,0.000000,50,1.7000,1.7000
2022-07-03,19176,0.007407,135,0.000000,50,1.6896,1.7000
2022-07-04,19177,0.007407,135,0.000000,50,1.6896,1.7000
2022-07-05,19178,0.007407,135,0.000000,50,1.6896,1.7000
2022-07-06,19179,0.014815,135,0.020000,50,1.6793,1.6720
2022-07-07,19180,0.007407,135,0.000000,50,1.6896,1.7000
2022-07-08,19181,0.014815,135,0.020000,50,1.6793,1.6720
2022-07-09,19182,0.014815,135,0.020000,50,1.6793,1.6720
2022-07-10,19183,0.014815,135,0.020000,50,1.6793,1.6720
2022-07-11,19184,0.007407,135,0.000000,50,1.6896,1.7000
2022-07-12,19185,0.007407,135,0.000000,50,1.6896,1.7000
2022-07-13,19186,0.007407,135,0.000000,50,1.6896,1.7000
2022-07-14,19187,0.007407,135,0.000000,50,1.6896,1.7000
2022-07-15,19188,0.007407,135,0.000000,50,1.6896,1.7000
2022-07-16,19189,0.014815,135,0.020000,50,1.6793,1.6720
2022-07-17,19190,0.014815,135,0.020000,50,1.6793,1.6720
2022-07-18,19191,0.014815,135,0.020000,50,1.6793,1.6720
2022-07-19,19192,0.022222,135,0.020000,50,1.6689,1.6720
2022-07-20,19193,0.029630,135,0.020000,50,1.6585,1.6720
2022-07-21,19194,0.022222,135,0.020000,50,1.6689,1.6720
2022-07-22,19195,0.029630,135,0.020000,50,1.6585,1.6720
2022-07-23,19196,0.022222,135,0.000000,50,1.6689,1.7000
2022-07-24,19197,0.022222,135,0.000000,50,1.6689,1.7000
2022-07-25,19198,0.029630,135,0.020000,50,1.6585,1.6720
2022-07-26,19199,0.022222,135,0.000000,50,1.6689,1.7000
2022-07-27,19200,0.022222,135,0.000000,50,1.6689,1.7000
2022-07-28,19201,0.044444,135,0.040000,50,1.6378,1.6440
2022-07-29,19202,0.066667,135,0.080000,50,1.6067,1.5880
2022-07-30,19203,0.066667,135,0.060000,50,1.6067,1.6160
