Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
0,0,0-0,rk_dd_7d,0.436363637,0-1,0-2,0-1,185.484573,15086.1758,
0,1,0-1,ret_14d,-0.334203005,0-3,0-4,0-3,98.5939865,5944.69336,
0,2,0-2,ret_14d,0.310234934,0-5,0-6,0-6,161.045486,9141.48242,
0,3,0-3,rk_dd_7d,0.127272725,0-7,0-8,0-7,18.5137634,1999.19275,
0,4,0-4,vol_7d,0.0121570425,0-9,0-10,0-10,25.4452267,3945.50049,
0,5,0-5,vol_7d,0.0153124183,0-11,0-12,0-12,69.6983185,8255.57031,
0,6,0-6,dd_7d,-0.14182125,0-13,0-14,0-14,29.0076523,885.911804,
0,7,0-7,vol_7d,0.0306725968,0-15,0-16,0-16,3.93515015,595.380737,
0,8,0-8,rk_ret_3d,0.623853207,0-17,0-18,0-18,14.1155167,1403.81201,
0,9,0-9,dd_7d,-0.153119043,0-19,0-20,0-20,2.42787743,324.250031,
0,10,0-10,rk_ret_3d,0.936363637,0-21,0-22,0-22,17.8122234,3621.25049,
0,11,0-11,dd_7d,-0.107778274,0-23,0-24,0-24,21.4599609,3070.55029,
0,12,0-12,dd_7d,-0.115719482,0-25,0-26,0-26,68.3395538,5185.02051,
0,13,0-13,vol_7d,0.0188500807,0-27,0-28,0-28,9.06214142,189.973831,
0,14,0-14,hrs_since_high_7d,0.0714285746,0-29,0-30,0-30,22.1948433,695.937988,
0,15,0-15,Leaf,,,,,0.0272763222,306.008148,
0,16,0-16,Leaf,,,,,0.018936988,289.37262,
0,17,0-17,Leaf,,,,,0.0106485449,1202.14307,
0,18,0-18,Leaf,,,,,0.024944799,201.6689,
0,19,0-19,Leaf,,,,,-0.0154877855,161.836502,
0,20,0-20,Leaf,,,,,-0.00677346019,162.413528,
0,21,0-21,Leaf,,,,,0.00278107775,3497.94116,
0,22,0-22,Leaf,,,,,0.022043718,123.309364,
0,23,0-23,Leaf,,,,,-0.0164044928,1704.88916,
0,24,0-24,Leaf,,,,,-0.00798325427,1365.66113,
0,25,0-25,Leaf,,,,,-0.00581535464,4269.73486,
0,26,0-26,Leaf,,,,,0.00923376344,915.2854,
0,27,0-27,Leaf,,,,,0.0464239158,75.9748917,
0,28,0-28,Leaf,,,,,0.023734143,113.998932,
0,29,0-29,Leaf,,,,,0.0192700606,372.693085,
0,30,0-30,Leaf,,,,,0.00137306028,323.244873,
