Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
0,0,0-0,rk_dd_7d,0.436363637,0-1,0-2,0-1,195.62886,15110.1621,
0,1,0-1,ret_14d,-0.334203005,0-3,0-4,0-3,98.1918335,5956.24951,
0,2,0-2,ret_14d,0.26761508,0-5,0-6,0-6,170.902771,9153.91211,
0,3,0-3,rk_dd_7d,0.109090909,0-7,0-8,0-7,17.4854736,2004.08228,
0,4,0-4,vol_7d,0.0121570425,0-9,0-10,0-10,26.2926083,3952.16699,
0,5,0-5,ret_3d,0.0586877204,0-11,0-12,0-11,78.0334015,8107.01367,
0,6,0-6,vol_7d,0.0167871956,0-13,0-14,0-14,28.1659317,1046.89893,
0,7,0-7,ret_3d,-0.123803139,0-15,0-16,0-16,3.70979309,516.240662,
0,8,0-8,rk_ret_3d,0.623853207,0-17,0-18,0-18,15.5912094,1487.84167,
0,9,0-9,ret_3d,-0.0973499492,0-19,0-20,0-20,3.69094467,325.896362,
0,10,0-10,rk_ret_3d,0.954545438,0-21,0-22,0-22,17.5573158,3626.27075,
0,11,0-11,vol_7d,0.0141442437,0-23,0-24,0-24,48.315094,6505.97656,
0,12,0-12,rk_ret_3d,0.825688064,0-25,0-26,0-26,26.9136772,1601.03699,
0,13,0-13,vol_7d,0.0106818993,0-27,0-28,0-28,15.2840662,425.771759,
0,14,0-14,ret_3d,-0.123803139,0-29,0-30,0-30,17.5964813,621.127136,
0,15,0-15,Leaf,,,,,0.0268821325,362.886719,
0,16,0-16,Leaf,,,,,0.0173471253,153.353912,
0,17,0-17,Leaf,,,,,0.0112636238,1272.48694,
0,18,0-18,Leaf,,,,,0.0258146878,215.354767,
0,19,0-19,Leaf,,,,,-0.0176159143,127.889542,
0,20,0-20,Leaf,,,,,-0.00668410165,198.006836,
0,21,0-21,Leaf,,,,,0.00324372388,3539.85986,
0,22,0-22,Leaf,,,,,0.0259310305,86.4108505,
0,23,0-23,Leaf,,,,,-0.0157397836,2050.32007,
0,24,0-24,Leaf,,,,,-0.00646355143,4455.65674,
0,25,0-25,Leaf,,,,,-0.00285496586,891.006104,
0,26,0-26,Leaf,,,,,0.0101865437,710.030884,
0,27,0-27,Leaf,,,,,-0.0204219297,52.5454826,
0,28,0-28,Leaf,,,,,0.00814646948,373.226288,
0,29,0-29,Leaf,,,,,0.0429445058,81.0066147,
0,30,0-30,Leaf,,,,,0.0179628544,540.120544,
